Keyword,Category,SEA competition index,SEA Cost per click,Demand,month,year
fioul bretagne,Fioul - Generic,0.4,0.18,10,10,2013
prix actuel du fuel domestique,Fioul - Price,0.26,0.22,40,10,2013
prix nettoyage cuve fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.74,0.6,50,10,2013
consommation fuel domestique,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0,,30,10,2013
prix du fioul dordogne,Fioul - Price,0.12,0.38,10,10,2013
prix du fioul cantal,Fioul - Price,0.12,0.08,10,10,2013
fioul bas rhin,Fioul - Generic,0.22,0.38,20,10,2013
prix du fioul lorraine,Fioul - Price,0.09,0.58,40,10,2013
prix du fioul ardennes,Fioul - Price,0.09,0.5,10,10,2013
prix du fioul tarn et garonne,Fioul - Price,0.19,0.61,10,10,2013
achat fuel,Fioul - Transactional,0.85,0.55,50,10,2013
prix du fioul lot et garonne,Fioul - Price,0.16,0.61,10,10,2013
evolution fioul,Fioul - Price,0.15,0.41,10,10,2013
prix de fuel,Fioul - Price,0.3,0.52,110,10,2013
prix du fod,Fioul - Price,0.06,0.81,90,10,2013
quand acheter son fioul,Fioul - Transactional,0.29,1.78,10,10,2013
prix du fioul correze,Fioul - Price,0.03,,10,10,2013
cours du fioul aujourd hui,Fioul - Price,0.12,0.15,30,10,2013
comparateur prix fuel,Fioul - Low cost,0.45,0.35,70,10,2013
cours du fuel aujourd hui,Fioul - Price,0.13,0.17,40,10,2013
augmentation du fioul,Fioul - Price,0.13,0.37,10,10,2013
prix de fioul domestique,Fioul - Price,0.34,0.43,40,10,2013
tendance prix du fuel,Fioul - Price,0.2,0.35,140,10,2013
fioul moselle,Fioul - Generic,0.25,0.15,40,10,2013
prix du fioul drome,Fioul - Price,0.28,0.37,20,10,2013
fournisseur de fioul,Fioul - Transactional,0.46,0.5,70,10,2013
prix du fioul lozere,Fioul - Price,0.11,0.23,10,10,2013
fioul domestique pas cher,Fioul - Low cost,0.87,0.67,50,10,2013
prix fioul evolution,Fioul - Price,0.07,0.49,20,10,2013
prix du fioul ordinaire,Fioul - Price,0.18,0.58,30,10,2013
commander du fioul,Fioul - Transactional,0.78,1.28,50,10,2013
prix du fuel premier,Fioul - Price,0.2,0.41,20,10,2013
prix litre fuel,Fioul - Price,0.1,0.27,90,10,2013
evolution prix fioul domestique,Fioul - Price,0.07,1.65,90,10,2013
consommation moyenne fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.01,,20,10,2013
achat fioul domestique,Fioul - Transactional,0.57,1.43,110,10,2013
le prix du fioul va t il baisser,Fioul - Price,0.16,0.59,20,10,2013
acheter fioul,Fioul - Transactional,0.6,1.29,50,10,2013
prix du fioul meuse,Fioul - Price,0.2,0.35,10,10,2013
prix du fioul saone et loire,Fioul - Price,0.33,0.33,10,10,2013
