Keyword,Category,SEA competition index,SEA Cost per click,Demand,month,year,Close,High,Low,Average,Max,Min
cours du fuel,Fioul - Price,0.08,0.22,880,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du litre de fioul,Fioul - Price,0.14,0.27,880,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
aide au chauffage,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.47,0.48,720,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul alsace,Fioul - Price,0.11,0.72,590,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
fuel pas cher,Fioul - Low cost,0.77,1.02,1900,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
cours du fioul domestique,Fioul - Price,0.16,0.41,320,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
fuel domestique prix,Fioul - Price,0.38,0.64,480,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul en france,Fioul - Price,0.08,0.76,110,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
evolution prix fioul,Fioul - Price,0.1,0.48,390,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul bas rhin,Fioul - Price,0.12,0.82,390,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
fioul domestique prix,Fioul - Price,0.36,0.59,260,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
aide chauffage,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.53,0.86,480,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul moselle,Fioul - Price,0.23,0.33,210,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
tarif fuel domestique,Fioul - Price,0.28,0.42,720,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
cuve fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",1.0,0.73,1900,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
livraison fioul,Fioul - Transactional,0.52,1.51,880,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
nettoyage cuve fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.82,2.04,720,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
cours du fuel domestique,Fioul - Price,0.17,0.53,320,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix litre fioul,Fioul - Price,0.08,0.34,480,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul domestique aujourd hui,Fioul - Price,0.19,0.56,880,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
tarif fioul domestique,Fioul - Price,0.31,0.47,880,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
tarif du fioul,Fioul - Price,0.39,0.38,590,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul domestique ce jour,Fioul - Price,0.17,0.54,720,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
cours fioul,Fioul - Price,0.12,0.26,390,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
fioul le moins cher,Fioul - Low cost,0.81,0.79,480,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
achat fioul,Fioul - Transactional,0.72,1.68,390,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fuel aujourd hui,Fioul - Price,0.12,0.49,320,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
commande fioul,Fioul - Transactional,0.73,1.95,320,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
tendance prix du fioul,Fioul - Price,0.25,0.59,390,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prime fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.31,1.12,50,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul bretagne,Fioul - Price,0.12,0.66,50,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul vosges,Fioul - Price,0.09,0.69,260,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
fioul discount,Fioul - Low cost,0.45,0.59,480,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul aujourd hui,Fioul - Price,0.17,0.35,390,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
livraison fuel,Fioul - Transactional,0.43,0.87,390,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
aide chauffage fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.51,0.61,170,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul aveyron,Fioul - Price,0.2,0.31,140,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
court du fioul,Fioul - Price,0.15,0.28,140,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul haut rhin,Fioul - Price,0.12,0.57,170,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
cours fuel,Fioul - Price,0.11,0.25,210,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
le prix du fioul domestique,Fioul - Price,0.4,0.47,140,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
fioul alsace,Fioul - Generic,0.29,0.79,260,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul manche,Fioul - Price,0.16,0.39,90,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
livraison de fioul,Fioul - Transactional,0.34,1.25,260,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
comparateur fioul,Fioul - Low cost,0.46,1.02,90,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix de fioul,Fioul - Price,0.39,0.57,390,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
aide pour le chauffage,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.61,0.69,210,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
quand acheter du fioul,Fioul - Transactional,0.44,0.82,30,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
evolution du prix du fioul,Fioul - Price,0.13,0.38,260,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prixfioul,Fioul - Price,0.08,0.98,260,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul haute loire,Fioul - Price,0.09,0.81,170,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul loire,Fioul - Price,0.16,0.39,50,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul tarn,Fioul - Price,0.26,0.39,170,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul superieur,Fioul - Price,0.23,0.92,260,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul nord,Fioul - Price,0.1,0.18,140,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul vaucluse,Fioul - Price,0.3,0.36,90,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
tarif du fuel domestique,Fioul - Price,0.32,0.42,210,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul oise,Fioul - Price,0.16,0.76,140,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
cours fuel domestique,Fioul - Price,0.18,0.59,110,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
tarif du fioul domestique,Fioul - Price,0.38,0.38,140,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
le fioul,Fioul - Generic,0.09,0.69,260,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
le prix du fuel,Fioul - Price,0.22,0.68,170,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
cours fioul domestique,Fioul - Price,0.16,0.7,90,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du litre de fioul domestique,Fioul - Price,0.18,0.45,210,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
aide fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.38,0.65,90,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
fonctionnement chaudiere fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.07,,390,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul calvados,Fioul - Price,0.33,0.76,260,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul pas de calais,Fioul - Price,0.13,0.73,70,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul gard,Fioul - Price,0.25,0.2,170,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul orne,Fioul - Price,0.19,0.19,90,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
evolution prix du fuel,Fioul - Price,0.09,0.46,210,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
evolution prix fuel,Fioul - Price,0.11,0.35,170,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul var,Fioul - Price,0.36,0.69,30,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
comparateur prix fioul,Fioul - Low cost,0.62,0.67,110,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul sarthe,Fioul - Price,0.22,0.67,20,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
commande de fioul,Fioul - Transactional,0.67,1.39,110,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
tarif du fuel,Fioul - Price,0.25,0.52,170,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fuel domestique aujourd hui,Fioul - Price,0.14,1.61,390,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
aide au fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.27,0.75,50,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
livraison fioul domestique,Fioul - Transactional,0.52,1.58,260,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul isere,Fioul - Price,0.22,0.25,30,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul morbihan,Fioul - Price,0.22,0.76,40,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
cuve à fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",1.0,0.79,590,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul loiret,Fioul - Price,0.27,0.57,10,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
achat groupé fioul,Fioul - Transactional,0.59,0.96,170,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul ille et vilaine,Fioul - Price,0.1,0.52,40,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul somme,Fioul - Price,0.12,0.15,210,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix fuel chauffage,Fioul - Price,0.32,0.35,140,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix fioul domestique aujourd hui,Fioul - Price,0.26,0.32,140,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix litre de fioul,Fioul - Price,0.14,0.18,140,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix moyen du fioul,Fioul - Price,0.11,0.41,110,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
cout du fioul,Fioul - Price,0.1,0.3,90,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix fioul aujourd hui,Fioul - Price,0.26,0.49,40,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
vente fioul domestique,Fioul - Transactional,0.48,0.65,50,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
courbe prix du fioul,Fioul - Price,0.07,0.65,110,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
fioul tarif,Fioul - Price,0.42,0.53,210,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du litre de fioul domestique aujourd hui,Fioul - Price,0.19,0.53,480,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
nettoyage cuve fioul prix,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.82,1.13,140,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul maine et loire,Fioul - Price,0.2,0.32,110,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
chaudiere fioul ventouse,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",1.0,0.52,480,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul deux sevres,Fioul - Price,0.09,0.75,50,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
commande fuel,Fioul - Transactional,0.69,2.04,90,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
nettoyage cuve à fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.21,2.08,50,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
vente fioul,Fioul - Transactional,0.31,0.67,70,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
aide pour le fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.4,0.79,70,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
estimation consommation fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.1,0.97,90,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
cout fioul,Fioul - Price,0.15,0.58,50,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du litre de fuel domestique,Fioul - Price,0.14,0.66,210,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
court du fioul domestique,Fioul - Price,0.18,0.36,20,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
cours fuel domestique aujourd hui,Fioul - Price,0.35,0.43,110,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
le fioul va t il baisser,Fioul - Price,0.22,1.08,110,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul aisne,Fioul - Price,0.11,0.5,110,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
consommation fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.04,0.84,320,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
tendance prix du fuel domestique aujourd hui,Fioul - Price,0.22,0.68,210,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
tarif du fuel domestique aujourd hui,Fioul - Price,0.28,0.64,50,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
fuel le moins cher,Fioul - Low cost,0.78,0.51,170,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du litre de fuel,Fioul - Price,0.08,0.17,390,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
simulateur consommation fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.07,1.11,390,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul evolution,Fioul - Price,0.1,0.42,70,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
cours du fioul domestique aujourd hui,Fioul - Price,0.24,0.53,70,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
evolution du prix du fuel,Fioul - Price,0.13,0.27,50,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix moyen du fuel domestique,Fioul - Price,0.21,0.33,170,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul de chauffage,Fioul - Price,0.28,0.65,70,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
evolution prix fuel domestique,Fioul - Price,0.08,0.9,110,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul tendance,Fioul - Price,0.26,0.6,70,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
fioul limoges,Fioul - Generic,0.27,0.25,90,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
court du fuel,Fioul - Price,0.23,0.26,30,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
tendance prix fioul domestique,Fioul - Price,0.22,0.44,50,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
fioul bretagne,Fioul - Generic,0.4,0.18,50,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix actuel du fuel domestique,Fioul - Price,0.26,0.22,70,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix nettoyage cuve fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.74,0.6,90,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
consommation fuel domestique,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.0,,50,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul dordogne,Fioul - Price,0.12,0.38,140,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul cantal,Fioul - Price,0.12,0.08,70,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
fioul bas rhin,Fioul - Generic,0.22,0.38,70,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul lorraine,Fioul - Price,0.09,0.58,70,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul ardennes,Fioul - Price,0.09,0.5,50,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul tarn et garonne,Fioul - Price,0.19,0.61,50,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
achat fuel,Fioul - Transactional,0.85,0.55,90,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul lot et garonne,Fioul - Price,0.16,0.61,50,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
evolution fioul,Fioul - Price,0.15,0.41,30,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix de fuel,Fioul - Price,0.3,0.52,90,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fod,Fioul - Price,0.06,0.81,90,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
quand acheter son fioul,Fioul - Transactional,0.29,1.78,10,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul correze,Fioul - Price,0.03,,70,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
cours du fioul aujourd hui,Fioul - Price,0.12,0.15,10,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
comparateur prix fuel,Fioul - Low cost,0.45,0.35,70,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
cours du fuel aujourd hui,Fioul - Price,0.13,0.17,10,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
augmentation du fioul,Fioul - Price,0.13,0.37,50,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix de fioul domestique,Fioul - Price,0.34,0.43,70,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
tendance prix du fuel,Fioul - Price,0.2,0.35,260,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
fioul moselle,Fioul - Generic,0.25,0.15,140,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul drome,Fioul - Price,0.28,0.37,50,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
fournisseur de fioul,Fioul - Transactional,0.46,0.5,170,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul lozere,Fioul - Price,0.11,0.23,40,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
fioul domestique pas cher,Fioul - Low cost,0.87,0.67,170,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix fioul evolution,Fioul - Price,0.07,0.49,50,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul ordinaire,Fioul - Price,0.18,0.58,90,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
commander du fioul,Fioul - Transactional,0.78,1.28,110,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fuel premier,Fioul - Price,0.2,0.41,50,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix litre fuel,Fioul - Price,0.1,0.27,170,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
evolution prix fioul domestique,Fioul - Price,0.07,1.65,140,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
consommation moyenne fioul,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.01,,210,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
achat fioul domestique,Fioul - Transactional,0.57,1.43,70,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
le prix du fioul va t il baisser,Fioul - Price,0.16,0.59,110,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
acheter fioul,Fioul - Transactional,0.6,1.29,110,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul meuse,Fioul - Price,0.2,0.35,40,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul saone et loire,Fioul - Price,0.33,0.33,20,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
fuel tarif,Fioul - Price,0.38,0.53,110,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix fioul superieur,Fioul - Price,0.19,0.62,70,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
acheter du fioul,Fioul - Transactional,0.67,1.22,170,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul limoges,Fioul - Price,0.22,0.3,30,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul seine maritime,Fioul - Price,0.15,0.43,30,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul puy de dome,Fioul - Price,0.09,0.51,40,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
consommation fuel,"Fioul - Informational (assistance, consumption, boiler, tank, etc.)",0.02,,140,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
fioul domestique le moins cher,Fioul - Low cost,0.9,0.7,110,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul allier,Fioul - Price,0.17,,110,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
augmentation du fuel,Fioul - Price,0.11,0.14,10,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul haute normandie,Fioul - Price,0.26,0.33,20,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul strasbourg,Fioul - Price,0.23,1.52,30,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
prix du fioul chauffage,Fioul - Price,0.17,0.26,70,1,2017,55.46857142857142,58.37,53.58,3.03827515834047,17.80000000000001,-13.299999999999955
